"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"86",100,3,0.1,0.8,10,1,0.8,0.810999648402239,"0.77968754639114, 0.785961017393584, 0.761394554494206, 0.908336672008547, 0.819618451723715"
"87",50,3,0.05,0.6,5,0.1,0.6,0.814906675785211,"0.781092270122621, 0.779141683419282, 0.774729388506107, 0.911921895545694, 0.827648141332352"
"88",100,3,0.1,0.8,5,0,0.6,0.811886608480256,"0.775923369258632, 0.788717769425749, 0.764846930786095, 0.912516436554898, 0.817428536375905"
"89",1000,3,0.01,0.6,5,0,0.7,0.813023376244859,"0.778293956533357, 0.792180753430644, 0.760391383495146, 0.911929600180802, 0.822321187584345"
"90",50,5,0.01,0.6,1,0.1,0.6,0.809249530266806,"0.788932372851162, 0.766997640066428, 0.750589668806765, 0.914748212524655, 0.82497975708502"
"91",50,5,0.01,0.7,10,0,0.6,0.817688046976389,"0.784550265728452, 0.775883226990648, 0.788531553398058, 0.910207614234057, 0.829267574530732"
"92",100,5,0.05,0.6,5,0.1,0.6,0.811452420055838,"0.784529853626674, 0.780464994318678, 0.758473124804259, 0.907053850262985, 0.826740277266593"
"93",500,5,0.05,0.7,10,0,0.6,0.807591667579807,"0.773549998515483, 0.797830609212481, 0.760225003914814, 0.890038163625904, 0.816314562630352"
"94",500,3,0.05,0.7,5,0,0.7,0.810087771021041,"0.775066060983937, 0.790236867406695, 0.760665420450987, 0.907530253533859, 0.816940252729726"
"95",50,3,0.01,0.6,5,0,0.7,0.81426241124968,"0.78604498827232, 0.77548466043178, 0.772064868462261, 0.911234898915187, 0.826482640166851"
"96",1000,3,0.01,0.7,1,0.1,0.8,0.811109719667878,"0.781620201300436, 0.786877021239402, 0.753232168023802, 0.910725108892176, 0.823094098883573"
"97",100,5,0.01,0.7,5,0.1,0.8,0.814363806116158,"0.78676683441703, 0.783389563849314, 0.768358029282806, 0.908429127629849, 0.824875475401791"
"98",50,3,0.01,0.7,1,0,0.8,0.811038619864917,"0.790609876488228, 0.762940302421117, 0.76159029517695, 0.909428161982249, 0.830624463256042"
"99",1000,5,0.05,0.6,10,1,0.7,0.805087418520314,"0.771562602060509, 0.794058211694782, 0.762471128249295, 0.888715534598948, 0.808629615998037"
"100",100,5,0.1,0.8,5,0.1,0.7,0.808584612223966,"0.775825020040973, 0.785279258806048, 0.755830625587222, 0.911300388313609, 0.814687768371979"
"101",50,3,0.1,0.8,10,1,0.6,0.813352413772909,"0.77819931860693, 0.791215802814439, 0.76157316786721, 0.910427196334648, 0.82534658324132"
"102",500,5,0.1,0.8,10,1,0.7,0.799996499794438,"0.772675989430243, 0.78088104186697, 0.753349612433448, 0.885086651462853, 0.807989203778677"
"103",500,3,0.05,0.7,10,0.1,0.6,0.811249512645735,"0.780445577625367, 0.795183987413688, 0.758522059974945, 0.904792539858646, 0.81730339835603"
"104",1000,5,0.01,0.6,10,0,0.8,0.814075910575723,"0.782154627237909, 0.796435626256446, 0.766640404791732, 0.906621106591059, 0.818527788001472"
"105",1000,5,0.05,0.8,1,0,0.6,0.802947877056852,"0.767895846322853, 0.789062144917402, 0.757330488568744, 0.889912321252466, 0.810538584222795"
"106",100,5,0.1,0.7,5,0,0.8,0.809131820624559,"0.780484546183308, 0.801676426885762, 0.757768458346383, 0.883879591962525, 0.821850079744817"
"107",1000,3,0.1,0.6,5,0,0.6,0.804601593477134,"0.770393545322289, 0.786258194213793, 0.765857442060758, 0.892141529010519, 0.808357256778309"
"108",500,5,0.05,0.6,1,0.1,0.7,0.80399214409745,"0.764707847154182, 0.792023424525828, 0.756848477137488, 0.893697865302433, 0.812683106367317"
"109",50,3,0.01,0.6,1,1,0.6,0.809618665686819,"0.786596115020338, 0.768359409142558, 0.755032982305042, 0.910318047337278, 0.82778677462888"
"110",100,5,0.01,0.8,1,1,0.7,0.80789604773891,"0.785547675247172, 0.771044489118084, 0.74580625587222, 0.91296330539119, 0.824118513065881"
"111",100,5,0.05,0.8,10,1,0.7,0.814512681414109,"0.781234227012262, 0.79418057862075, 0.75923161994989, 0.90891195142998, 0.829005030057662"
"112",1000,5,0.1,0.8,10,1,0.7,0.80044045336367,"0.765772987737894, 0.794281968359409, 0.771206056216724, 0.88833543926693, 0.782605815237394"
"113",500,3,0.05,0.8,10,0.1,0.8,0.80818364011844,"0.779131780529082, 0.78998514115899, 0.760313087222048, 0.900380352153189, 0.811107839528892"
"114",100,5,0.05,0.8,10,1,0.8,0.815556554629657,"0.781523707728393, 0.793170177432043, 0.764545979486376, 0.912081124671269, 0.826461783830205"
"115",50,5,0.05,0.8,10,0,0.8,0.813431891043421,"0.780688667201093, 0.787962590682633, 0.762811227685562, 0.911318365795529, 0.824378603852288"
"116",1000,5,0.05,0.7,1,0,0.7,0.803160099236398,"0.762200869926665, 0.785548466043178, 0.756290616191669, 0.895207973783695, 0.816552570236781"
"117",500,5,0.05,0.7,5,1,0.8,0.805683353268316,"0.77200424571717, 0.788569181015646, 0.756364018947698, 0.895449385683761, 0.816029934977303"
"118",500,3,0.1,0.6,10,0.1,0.6,0.803649028927138,"0.763382916184199, 0.790848702036535, 0.762740271688068, 0.892616648175542, 0.808656606551343"
"119",100,5,0.01,0.7,1,0,0.8,0.80857757801523,"0.786410550458716, 0.773458613757539, 0.746919531005324, 0.909250955374753, 0.826848239479818"
"120",100,3,0.1,0.7,10,1,0.8,0.814493346676478,"0.779861977079065, 0.794537190805, 0.770222459285938, 0.910161386423406, 0.817683719788983"
